"","Province.State","Country.Region","Lat","Long","Date","Cases","X3.27.20","Deaths","New.Cases","New.Deaths"
"1","","Afghanistan",33,65,2020-01-22,0,4,0,0,0
"2","","Afghanistan",33,65,2020-01-23,0,4,0,0,0
"3","","Afghanistan",33,65,2020-01-24,0,4,0,0,0
"4","","Afghanistan",33,65,2020-01-25,0,4,0,0,0
"5","","Afghanistan",33,65,2020-01-26,0,4,0,0,0
"6","","Afghanistan",33,65,2020-01-27,0,4,0,0,0
"7","","Afghanistan",33,65,2020-01-28,0,4,0,0,0
"8","","Afghanistan",33,65,2020-01-29,0,4,0,0,0
"9","","Afghanistan",33,65,2020-01-30,0,4,0,0,0
"10","","Afghanistan",33,65,2020-01-31,0,4,0,0,0
"11","","Afghanistan",33,65,2020-02-01,0,4,0,0,0
"12","","Afghanistan",33,65,2020-02-02,0,4,0,0,0
"13","","Afghanistan",33,65,2020-02-03,0,4,0,0,0
"14","","Afghanistan",33,65,2020-02-04,0,4,0,0,0
"15","","Afghanistan",33,65,2020-02-05,0,4,0,0,0
"16","","Afghanistan",33,65,2020-02-06,0,4,0,0,0
"17","","Afghanistan",33,65,2020-02-07,0,4,0,0,0
"18","","Afghanistan",33,65,2020-02-08,0,4,0,0,0
"19","","Afghanistan",33,65,2020-02-09,0,4,0,0,0
"20","","Afghanistan",33,65,2020-02-10,0,4,0,0,0
"21","","Afghanistan",33,65,2020-02-11,0,4,0,0,0
"22","","Afghanistan",33,65,2020-02-12,0,4,0,0,0
"23","","Afghanistan",33,65,2020-02-13,0,4,0,0,0
"24","","Afghanistan",33,65,2020-02-14,0,4,0,0,0
"25","","Afghanistan",33,65,2020-02-15,0,4,0,0,0
"26","","Afghanistan",33,65,2020-02-16,0,4,0,0,0
"27","","Afghanistan",33,65,2020-02-17,0,4,0,0,0
"28","","Afghanistan",33,65,2020-02-18,0,4,0,0,0
"29","","Afghanistan",33,65,2020-02-19,0,4,0,0,0
"30","","Afghanistan",33,65,2020-02-20,0,4,0,0,0
"31","","Afghanistan",33,65,2020-02-21,0,4,0,0,0
"32","","Afghanistan",33,65,2020-02-22,0,4,0,0,0
"33","","Afghanistan",33,65,2020-02-23,0,4,0,0,0
"34","","Afghanistan",33,65,2020-02-24,1,4,0,1,0
"35","","Afghanistan",33,65,2020-02-25,1,4,0,0,0
"36","","Afghanistan",33,65,2020-02-26,1,4,0,0,0
"37","","Afghanistan",33,65,2020-02-27,1,4,0,0,0
"38","","Afghanistan",33,65,2020-02-28,1,4,0,0,0
"39","","Afghanistan",33,65,2020-02-29,1,4,0,0,0
"40","","Afghanistan",33,65,2020-03-01,1,4,0,0,0
"41","","Afghanistan",33,65,2020-03-02,1,4,0,0,0
"42","","Afghanistan",33,65,2020-03-03,1,4,0,0,0
"43","","Afghanistan",33,65,2020-03-04,1,4,0,0,0
"44","","Afghanistan",33,65,2020-03-05,1,4,0,0,0
"45","","Afghanistan",33,65,2020-03-06,1,4,0,0,0
"46","","Afghanistan",33,65,2020-03-07,1,4,0,0,0
"47","","Afghanistan",33,65,2020-03-08,4,4,0,3,0
"48","","Afghanistan",33,65,2020-03-09,4,4,0,0,0
"49","","Afghanistan",33,65,2020-03-10,5,4,0,1,0
"50","","Afghanistan",33,65,2020-03-11,7,4,0,2,0
"51","","Afghanistan",33,65,2020-03-12,7,4,0,0,0
"52","","Afghanistan",33,65,2020-03-13,7,4,0,0,0
"53","","Afghanistan",33,65,2020-03-14,11,4,0,4,0
"54","","Afghanistan",33,65,2020-03-15,16,4,0,5,0
"55","","Afghanistan",33,65,2020-03-16,21,4,0,5,0
"56","","Afghanistan",33,65,2020-03-17,22,4,0,1,0
"57","","Afghanistan",33,65,2020-03-18,22,4,0,0,0
"58","","Afghanistan",33,65,2020-03-19,22,4,0,0,0
"59","","Afghanistan",33,65,2020-03-20,24,4,0,2,0
"60","","Afghanistan",33,65,2020-03-21,24,4,0,0,0
"61","","Afghanistan",33,65,2020-03-22,40,4,1,16,1
"62","","Afghanistan",33,65,2020-03-23,40,4,1,0,0
"63","","Afghanistan",33,65,2020-03-24,74,4,1,34,0
"64","","Afghanistan",33,65,2020-03-25,84,4,2,10,1
"65","","Afghanistan",33,65,2020-03-26,94,4,4,10,2
"66","","Albania",41.1533,20.1683,2020-01-22,0,8,0,0,0
"67","","Albania",41.1533,20.1683,2020-01-23,0,8,0,0,0
"68","","Albania",41.1533,20.1683,2020-01-24,0,8,0,0,0
"69","","Albania",41.1533,20.1683,2020-01-25,0,8,0,0,0
"70","","Albania",41.1533,20.1683,2020-01-26,0,8,0,0,0
"71","","Albania",41.1533,20.1683,2020-01-27,0,8,0,0,0
"72","","Albania",41.1533,20.1683,2020-01-28,0,8,0,0,0
"73","","Albania",41.1533,20.1683,2020-01-29,0,8,0,0,0
"74","","Albania",41.1533,20.1683,2020-01-30,0,8,0,0,0
"75","","Albania",41.1533,20.1683,2020-01-31,0,8,0,0,0
"76","","Albania",41.1533,20.1683,2020-02-01,0,8,0,0,0
